UID,tag,familiar,how_often,first,second,third
278,musical,3,3,singer,dancing,artist
278,war,4,4,gun,bomb,death
278,martial arts,5,5,Kung Fu,Jackie Chan,Bruce lee
276,stupid,3,5,Comical,Random,Slapstick
276,culture clash,-1,2,Opposites,Out of place,Different
276,martial arts,4,3,Action,High energy,Fight
276,comedy,5,5,Funny,Hijinx,Adventure
276,pirates,4,2,Fantasy,Adventure,Ocean
276,mockumentary,3,3,Comedy,Unreal,Found footage
276,romance,5,5,Love,Weddings,Sacrifice
276,surreal,3,3,Fantasy,Amazing,Exciting
276,atmospheric,-1,2,In-depth,Engaging,SciFi
276,overrated,5,3,Boring,Overwatched,Not as good
273,funny,3,4,HUMOR,LAUGH,JOKEY
273,hilarious,3,3,MAD,ANTIC,DELIGHTFUL
273,drugs,5,5,PHARMACY,CHEMIST,DRUGGIST
273,adventure,4,4,THRILLER,ROMANCE,PICARO
273,animation,4,5,SPIRIT,GLASSY,ANIMATO
273,overrated,5,5,TO CREATE,TO CARRY OUT,TO CAUSE
273,visually appealing,4,4,COSMETIC,ATTRACTIVE,FRAME
273,suspense,5,4,SUSPENSIVE,DEPEND,TENSE
273,musical,4,4,PLAYER,INSTRUMENT,MELODY
273,india,5,5,HINDI,PUNJAB,HINDUSTAN
282,horror,5,3,Suspense ,Gore,Slasher 
282,space,5,5,Scifi,Stars,Ship
282,pirates,5,3,Booty,Plunder,Treasure 
282,steampunk,5,2,Annoying,Manufactured ,Welding goggles
282,satire,5,5,Joke,Mimic ,Hilarious 
282,mockumentary,5,5,Christopher guest,Spinaltap,Goes to 11
282,suspense,5,5,Tense,Fear,Timing
282,funny,5,5,Joke,Hummor,Light hearted
282,mafia,5,4,Jersey,Wack,Affordable prices
268,psychological,5,5,psych,theraphy,attitude
268,environmental,5,3,climate,bio diversity,habitat
268,mystery,5,4,puzzle,problem,riddle
268,justice,4,4,honest,fairness,impartiality
268,predictable,5,5,sure,certain,expect
268,unique,4,3,rare,individual,particular
268,witty,4,4,humour,comedy,funny
268,satire,4,3,sarcasm,irony,parody
268,pirates,4,3,raider,crime,rover
268,self discovery,4,3,Identify,self examination,self searching
292,culture clash,5,4,out of place,differences,alienation
292,space,5,4,travel,future,danger
292,romance,5,4,love,couples,hard to find
292,fantasy,5,4,hopeful,imagination,mind
292,religion,5,3,dogma,faith,belief
292,suspense,5,4,concerns,edge of your seat,dangers
292,christmas,5,3,holiday,cheerful,family
292,environmental,5,3,climate,green,concern
292,predictable,5,3,boring,easy to figure out,no challenge
283,art house,2,3,photography,artistic,different
283,religion,5,3,belief,higher being,God
283,historical,5,4,past events,history,important facts
283,musical,5,3,songs,singing,dancing
283,environmental,5,3,surroundings,natural world,nature 
283,holocaust,5,2,Jewish People,World War II,Hitler 
283,romance,5,3,love,caring,excitement
283,hilarious,5,2,very funny,outrageous,laughable
283,cyberpunk,2,2,science fiction,computers,domination
283,christmas,5,3,Santa Clause,kids,presents
297,hilarious,5,5,funny,entertaining,witty
297,comic book,5,5,animated,fiction,not real
297,stylized,5,5,stylish,fancy,attractive
297,predictable,5,5,guessed,supposed,common sense
297,existentialism,5,5,availablity,visible,real
297,martial arts,5,5,fight,art of fight,speed
297,time travel,5,5,future travel,time machine,adventure
297,adventure,5,5,fun,excitement,thriller
297,mafia,5,5,don,big man,money
288,mafia,5,2,Thugs,Villains,Robbers
288,holocaust,5,5,Murder,Mass murder,Killings
288,space,4,5,Sky,Astronomy,NASA
288,india,5,-1,Modi,Amit shah,Darjeeling
288,martial arts,4,5,Bruce lee,Van damm,Ip man
288,stupid,4,2,Idiot,Illiterate,Sick
288,self discovery,4,5,Know yourself,Inner self,Discover yourself
288,plot twist,-1,-1,Twist in scenes,Twist in situation,Table turn
277,horror,3,5,dread,Fright,Terror
277,surreal,5,5,dreamlike,phantasmagoric,phantasmagorical
277,aliens,5,5,Immigrant,Outcast,Foreign
277,documentary,5,5,Framing,Creating,Film making
277,action,5,5,Activity,Movement,Work
277,artistic,5,5,Inventive,Original ,Creative
277,art house,5,5,Megaplex,Multiplex,Plex
277,satire,5,5,Ridicule,Scorn,Irony
277,holocaust,5,5,Disaster,Distruction,Demolition 
277,comedy,5,5,Light entertainment ,Comic play/film,Farce
299,martial arts,4,5,action,dynamic,athletic
299,original,5,5,new,particular,different
299,christmas,4,5,family,presents,atmosphere
299,horror,4,4,frightening ,emotion,chills
299,witty,4,5,funny ,light,carefree
299,sci-fi,4,5,crazy ,different,exciting
299,atmospheric,5,5,relationship ,emotion,close
299,comedy,4,4,light,smiles,carefree
299,overrated,4,4,disappointment ,ridiculous,ugly
299,futuristic,4,4,crazy ,magical,illusion
300,sci-fi,4,3,technology,nightcities,distopic universe
300,self discovery,2,2,introspection,path,personal growth
300,space,4,4,spaceships,time paradox,aliens
300,war,4,4,guns,bombs,trench
300,drugs,4,4,heroine,syringe,philosophy
300,suspense,3,3,anxiety,uncertainty,climax
300,romance,4,2,kiss,date,atmosphere
300,christmas,5,2,snow,christmas tree,gifts
300,horror,4,3,murder,mysteries,tension atmosphere
300,bittersweet,2,2,romance,girl,cheating
295,christmas,4,2,Love,Joy,Celebrate
295,suspense,4,5,Fear,Adrenaline,Focus
295,inspirational,3,4,Self motivation,Life,Love
295,unique,2,2,Drama,Upset,Sad
295,martial arts,3,3,Knofe,Jump,Kill
295,horror,5,5,Death,Heart beat,Scare
295,prison,3,3,Escape,Fight,Inmate
295,atmospheric,1,1,Wind,Water,Tornado
295,art house,2,2,Design,Family,Kid
295,documentary,4,4,Science,History,Culture
308,animation,5,5,3D,cartoon,beautiful
308,comedy,5,5,funny ,laugh,jokes
308,historical,5,5,sensible,intellectual,learning
308,humorous,4,4,comic,laugh ,funny
308,mafia,5,5,suspense ,thriller ,action
308,environmental,5,5,intellectual,sensible,ecofriendly
308,surreal,5,5,unreal,fake,dramatical
308,india,5,5,nice ,beautiful,good
308,pirates,4,4,action,attack ,violence
308,romance,5,5,carm ,peace ,happiness
307,pirates,5,4,Jack Sparrow,Barbossa,Perla nera
307,predictable,3,3,discounted,trivial,boring
307,martial arts,3,4,Kung fu,Jackie Chan,Asia
307,cyberpunk,4,4,Future,Industry,Fashion
307,action,4,5,Guns,Fight,Bank
307,humorous,4,5,Funny,Laugh,Jim Carrey
307,documentary,4,5,Reality,Nature,Facts
307,environmental,4,5,Nature,Landscape,Journey
307,musical,5,5,Broadway,Dance,Sing
307,christmas,4,5,Happy,Lights,Family
305,unique,5,5,one of a kind,different,remarkable
305,fantasy,5,3,unreal,creative,animation
305,existentialism,4,4,real,life related,experiental
305,india,4,4,cultural,related to a culture,folklore
305,boring,5,2,annoying,loss of time,unemotional
305,surreal,5,4,unreal,creative,out of this world
305,twists & turns,5,5,unexpected,surprising,astonishing
305,satire,4,4,joke,irony,moking
305,comic book,4,4,fantasy,book related,unreal
320,india,5,5,COUNTRY,NATION,PEOPLE
320,horror,5,5,THRILL,FEAR,GHOST
320,insanity,5,5,INSANITY,INSANITY,INSANITY
320,mafia,5,5,CRIME,FICTION,INVESTIGATION
320,plot twist,5,5,TWIST,PLOT ,TURN
320,romance,5,5,LOVE,CHEMISTRY,KISS
320,stupid,5,5,IDIOT,FOOL,CLEVER
320,predictable,5,5,CHOICE,CUSTOM,CHOICE
320,animation,5,5,CARTOON,GRAPHICS,MOVIE
319,culture clash,4,3,BLM,Punk Rock,Pussy Riot
319,existentialism,3,3,Dali,Kant,Self doubt
319,prison,5,3,Jail,Sentence,Court
319,christmas,5,2,Snow,Gifts,Money
319,art house,4,3,Warhol,Westwood,Tarrantino
319,animation,5,3,Disney,Pixar,Toy Story
319,drugs,5,2,Heroin,Shooting up,Deals
319,religion,5,2,God,Priest,Church
319,time travel,5,5,Wormhole,Parallel Universe,The future
312,dystopia,4,4,dehumanized,violence,revulsion
312,christmas,5,3,happiness,family,snow
312,holocaust,5,2,death,germany,pain
312,unique,5,3,memorable,beautiful,special
312,nonlinear,5,5,not sequential ,not arranged,strange
312,animation,5,5,children,lightheartedness,funny
312,adventure,5,5,suspance,adrenaline,dynamicity
312,violence,5,5,fight,pain,suffering
312,overrated,5,5,valued too high,award-winning,boring
321,self discovery,5,4,spiritualism,interiority,growing up
321,robots,5,3,droids,technology ,machines
321,drugs,5,3,heroine,marijuana ,drug addiction
321,fantasy,5,4,medieval,epic ,elves
321,horror,5,2,fear,suspense,scary 
321,sci-fi,5,4,aliens,space ,galaxy 
321,plot twist,5,4,thrilling ,suprise ,adventure
321,historical,5,5,medieval ,world war,epic
321,space,5,4,spacecraft,sky ,science fiction 
309,plot twist,5,4,Actors,theme,plot
309,comic book,5,5,cartoon,fiction,comics
309,disturbing,5,5,confusing,horor,moving
309,hallucinatory,4,4,imaginative,fiction,drugs
309,mockumentary,5,5,funny,mocking,social
309,tense,5,5,aye cathyng,concetnation,fear
309,stylized,3,4,oldies,classics,acting
309,world war ii,5,5,nazi,war,farmy
309,drugs,5,5,youth,criminals,social
309,steampunk,2,2,individual,acting,attention
317,musical,5,5,singing,dancing,entertaining
317,culture clash,3,3,differences,divisions,conflict
317,social commentary,5,4,society,people,beliefs
317,predictable,5,5,ordinary,unoriginal,knowing what will happen
317,superhero,4,2,strong,fighter,defender
317,christmas,5,5,holiday,happiness,happy endings
317,animation,5,2,cartoons,kids,not real
317,prison,4,5,jail,incarceration,judge
317,stylized,3,3,artificial,unreal,made up
317,hallucinatory,2,2,seeing things,hearing things,smelling things
303,atmospheric,4,5,poetic,idyllic,historical
303,fantasy,5,5,mystical,magic,fable
303,sci-fi,5,5,futuristic,fantasy,fiction
303,pirates,2,2,raider,thief on sea,corsair
303,cyberpunk,1,1,underworld of illegal trade,corruption,"hight tech, low life"
303,western,3,3,old west,cowboys,indian
303,prison,2,3,prison escape,war prisoner,boxing
303,great soundtrack,4,5,epic,dream,earworm
303,environmental,3,2,climate change,anti-nuclear,nature
303,end of the world,3,4,apocalypse,catastrophe,sci-fi
322,funny,5,5,"Humour,",fun,joy
322,world war ii,5,5,blood,history,trauma
322,romance,5,5,"love, ",clean,insparational
322,predictable,5,5,boring,long,dumb
322,surreal,5,5,fantasy,alternative,cosmos
322,mystery,5,5,drama,suspense ,tension
322,sci-fi,5,5,technology,future,aliens
322,christmas,5,5,holiday,warmth,joy
318,india,5,4,Gandhi,Narendra Modi,Bharat
318,adventure,3,3,Dare,travel,Brave
318,great soundtrack,3,3,Background,Music,Audio
318,holocaust,5,3,Hitler,Jew,Mass Murder
318,dystopia,3,2,Group,Fear,imaginary
318,insanity,5,5,Freak,Psyco,Mad
318,hilarious,5,5,Funny,Comedy,Laugh
318,sci-fi,5,5,Science Fiction,Technology,Time Machine
318,martial arts,5,5,Karate,Kungfu,Bruce -Lee
328,existentialism,4,4,mysterious,imagination,meaning
328,superhero,5,5,courage,loyal,disguise
328,christmas,5,5,holiday,celebration,family
328,environmental,5,5,sustainability,Earth,ecology
328,time travel,5,5,clock,calendar,"past, present, and future"
328,drama,5,5,suspense,story,emotional
328,western,5,4,cowboys,The West,ranches
328,humorous,5,5,comedy,funny,laughter
328,witty,5,5,clever,imaginative,creative
328,surreal,5,4,imaginative,mysterious,creative
323,superhero,5,5,batman,superman,hulk
323,robots,4,4,machine,demolition,action
323,stupid,4,1,bad,not intelligent,weird
323,funny,5,5,comedy,entertainment,jokes
323,drama,2,2,not sure,na ,na
323,hilarious,3,3,amusimg,noisy,boisterous
323,thought-provoking,3,2,intelligent,smart,warm
323,comic book,2,2,cartoons,characters,text
323,environmental,4,4,atmosphere,geography,earth
323,predictable,4,4,declare,thought,expectation
326,western,5,5,Cowboy,Drugs,Mafia
326,superhero,5,5,Superpowers,Superman,Wonder woman
326,robots,5,5,Artificial intelligence,I robot,Automata
326,fantasy,5,5,Animation,Out of world,Fiction
326,nonlinear,4,4,Not usual way,Out of box thinking,Fiction
326,holocaust,5,5,Mass killing,Hitler,World war 2
326,romance,5,5,Fiction,I love you,Sacrifice
326,comic book,5,5,Fiction,Animation,Comedy
326,space,5,5,Spaceship,Outer world,Galaxy
327,film noir,1,3,new,stylized,strange
327,environmental,5,2,dusaster,weather,environment
327,unique,4,3,different,one of a kind, thought provoking
327,martial arts,4,3,karate,judo,fighting
327,predictable,5,3,foreseen,obvious,no surprise
327,animation,5,2,cartoon,Disney,children
327,stylized,2,3,colorful,artistic,flashy
327,thought-provoking,5,4,experiental,imaginative,science fiction
327,funny,5,2,comedy,slapstick,humorous
327,world war ii,5,5,military,historical,greatest generation
304,humorous,5,5,awkward,dumb,lilting
304,horror,4,1,noir,vampire,zombie
304,mafia,4,3,godfather,Sicilia,vendetta
304,serial killer,4,1,blood,terror,panic
304,atmospheric,4,3,impressive,elaborate,fabulous
304,inspirational,4,4,skillfully made,spirit-lifting,great work
304,sci-fi,3,3,future projection,hi-tech development,hypothetic model
304,mockumentary,3,2,parody,humour,joke
304,hilarious,4,4,funny,original,catching
304,stupid,5,5,dumb,plain,simple
325,twists & turns,4,4,surprising changes,curves and frequent changes of direction,sudden development
325,art house,4,4,absorbing.,abstract.,acclaimed.
325,martial arts,5,5,fight,stunt,action
325,stylized,4,4,non-realistic,depicted,treated in a mannered
325,suspense,5,5,thrill,mystery,uncertainty
325,india,5,5,cultured country,good people,God's chosen country
325,romance,5,5,love,affair,flirt
325,humorous,5,5,comedy,laughing,funny
332,unique,5,3,different,unusual,special
332,bittersweet,3,4,sentimental,emotional,touching
332,martial arts,4,3,fighting,action,skill
332,superhero,3,3,strong,action,saves the day
332,holocaust,4,2,pain,suffering,death
332,satire,3,3,making fun,sarcastic,clever
332,war,5,3,destruction,fighting,blood
332,boring,5,2,dull,yawn,puts me to sleep
332,western,3,2,cowboy,wild west,guns
332,mystery,5,5,suspense,whodunnit ,surprise
339,romance,5,4,lovers,courtship,attraction
339,prison,5,5,incarcerate,legal ,attorney
339,robots,5,2,artificial intelligence,automaton,mechanical
339,environmental,5,4,earth,conservation,green
339,musical,5,5,song,dance,orchestra
339,religion,5,5,nuns,priests,confession
339,funny,5,5,sarcasm,comedy,slapstick
339,india,5,2,taj mahal,poverty,corona virus
339,surreal,4,3,apocalypse,smokey,disaster
339,hilarious,5,5,laugh,comedy,situation
335,holocaust,4,3,War,Europe,Religion
335,fantasy,5,5,Daydream,unreal,magic
335,animation,5,5,images,drawing,computer
335,hilarious,5,5,Fun,LOL,Joy
335,predictable,5,5,You know the end,No surprises,Love movies
335,prison,5,5,No freedom,Danger,Prisioners
335,stupid,5,5,Dumb,Fool ,Idiot
335,war,5,5,Guns,Army,Someone good or bad
335,artistic,5,5,Art,Museum,Creative
335,superhero,5,5,Good person,Powers,Protagonist
338,superhero,4,4,Dress,Mask,Makeup
338,stylized,4,4,Cloth,Work,Acting
338,pirates,4,4,Thief,Ocean,Ship
338,environmental,5,4,Nature,Water,Forest
338,romance,5,5,Love,Care,Life
338,india,5,5,Country,Unity,Faith
338,time travel,4,3,Future,Time,Newtime
338,historical,3,3,History,King,Army
338,predictable,2,2,Time,Future,Donot know
338,war,4,-1,Fight,King,Army
342,world war ii,5,2,depressing,discrimination,war
342,surreal,5,3,strange,odd,overly
342,quirky,5,2,odd,funny,comical
342,religion,5,2,adherence,lord,following
342,holocaust,5,2,depressing,sad,overwhelming
342,boring,5,1,dull,uninterested,detached
342,pirates,5,2,sea,boat,flag
342,animation,5,3,colorful,animated,cartoon
342,culture clash,4,2,off,odd,strange
342,mystery,5,4,mysterious,unknown,investigate
354,horror,5,2,Gore,Monster,paranormal
354,thriller,5,4,action,plot twist,supernatural
354,drama,4,1,slow,serious,boring
354,surreal,5,4,imaginative,otherworld,creative
354,humorous,5,5,comedy,laughter,pleasure
354,holocaust,5,3,tragedy,death,nazi
354,plot twist,5,4,great acting,edge of seat,awe
354,martial arts,5,3,karate,action packed,kung fu
354,romance,5,2,tear jerker,unrealistic,sad
358,musical,5,2,singing,dancing,smiles
358,horror,5,5,screaming,terror,death
358,funny,5,5,laughing,comedy,happy
358,comedy,4,4,jokes,laughing,witty
358,superhero,5,5,magic powers,saving people,envy
358,drama,4,4,captivaing,serious,scary
358,existentialism,1,1,N/A not sure what this means,,
358,surreal,5,5,not normal,fantasy,wishing life could be like this
358,witty,4,4,smart,one liners,short
334,martial arts,4,-1,kungfu,karate,boxing
334,musical,5,5,drummer,xesophone,guitarist
334,romance,5,5,outings,chasing,love
334,stupid,5,-1,useless,nor worthy,waste of time
334,environmental,4,5,deforestation,water pollution,harmful gasses
334,art house,3,1,picaso,opera,club
334,suspense,5,5,thriller,mystery,catastrophic
334,war,5,5,independent,freedom,casualty
334,quirky,1,1,strange,weird,odd
334,overrated,3,2,rate too high,unnecessary showing ,think too much of
359,steampunk,3,2,watch a lot,enjoy,good
359,surreal,4,-1,dream,differ,fun
359,world war ii,5,4,hurt,hate,people
359,unique,5,5,differ,new,real
359,religion,1,1,believe in,follow,hope
359,comedy,3,3,laugh,funny,smile
359,stylized,4,5,time,follow up,when
359,historical,5,5,time,pass,when
359,pirates,3,3,history,time,them
359,animation,5,5,art,dream,other world
357,india,5,2,Chai tea,Slum,Curry
357,existentialism,2,2,Philosophy,Self consciousness,Life
357,horror,5,4,Fear,Thrill,Suspence
357,quirky,2,5,Weird,Curious,Intriguing
357,martial arts,5,2,Karate,Combact,Kung Fu
357,mockumentary,3,4,Reality,Fiction,Storytelling
357,unique,3,5,Exclusive,Original,Unusual
357,dystopia,4,4,Fiction,Reality,Seamless
357,drugs,5,5,Narcos,Toxic,Addiction
357,religion,5,3,Church,Faith,Prayers
340,witty,3,3,Novel,Raconteur ,Clever
340,serial killer,5,4,Murder,Mass Murder,Spree killer
340,violence,4,5,Violence ,Mass Violence ,extradinary violence 
340,boring,3,3,Boring ,Very Boring ,Hard time Boring
340,documentary,4,5,Film ,Terms of the Film,Ultimate Guide
340,world war ii,4,5,Battle of Britain ,Axis powers,Battle of the coral sea
340,war,5,4,Combat ,Fighting,Strike
340,funny,4,3,Laughable ,witty,Comical
340,fantasy,4,5,Fancy,Wild,Illusion
311,musical,2,1,song,melodic,lyrical
311,romance,5,5,love,enchantment,passion
311,self discovery,2,2,heart-searching,self-contemplation,pensiveness
311,holocaust,5,4,fascism,Second World War,shoah
311,drugs,4,3,addiction,narcotics,syringe
311,animation,5,5,cartoon,Disney,Pixar
311,sci-fi,4,3,futurism,space,scientifiction
311,funny,5,5,amusing,comical,hilarious
311,adventure,3,2,experience,danger,exploration
311,war,4,2,death,weapons,danger
366,war,1,1,power,life,death
366,great soundtrack,1,1,music,singing,voice
366,violence,1,1,killings,gangs,crazy
366,martial arts,1,1,fun,health,life
366,psychological,1,1,none,none,none
366,prison,1,1,crimial,justice,violence 
366,western,1,1,country,music,culture
366,pirates,1,1,thiefs,movie,sea
366,india,3,3,country,none,none
366,mafia,1,1,violence,crime,killings
370,time travel,5,2,back to future,terminator,waynes world
370,holocaust,5,5,WWII,Nazi Germany,Jews
370,art house,3,4,dark,music,unshaved legs
370,hilarious,4,4,funny,crazy,interesting
370,stupid,2,4,dumb,not intelligent,this task
370,western,3,3,west,america,horse
370,martial arts,3,3,asia,bruce lee,karate
370,boring,4,5,tv,media,work
371,robots,5,5,intelligent,support,technology
371,self discovery,5,5,adventure,nature,pleasent
371,predictable,3,3,survive,protect,saving
371,superhero,5,5,power,mass,epic
371,stylized,5,5,fashion,admire,goal
371,drama,5,5,sentiment,love,feel
371,original,5,5,nature,true,reality
371,romance,5,5,love,affection,care
371,pirates,5,5,talent,adventure,strategy
378,tense,5,4,Stressed,Anxious,Tight
378,original,5,3,New,Unique,Genuine
378,western,5,3,Cowboys,Guns,Horses
378,environmental,5,2,Climate,Oxygen,Nature
378,martial arts,5,4,Karate,Kung-Fu,Fighting
378,philosophical,5,4,Thinking,Musing,Deep
378,steampunk,4,2,Technology,Combustion,Metal
378,boring,5,5,Sleepy,Uninterested,Dull
372,pirates,5,4,attack,eyepatch,johnydeep 
372,disturbing,5,5,thriller,worry,gore
372,environmental,5,3,nature,global warming,animals
372,martial arts,5,5,jackie chan,bruce lee,karate 
372,nonlinear,2,3,psycho,unclear,mystry
372,stupid,5,5,funny,comedy,foolish
372,superhero,5,5,batman,superman ,super power
372,mystery,5,5,suspense,thriller ,dark
372,christmas,5,5,colorful,joy,happy
372,predictable,5,5,expected ,unintresting ,boredom 
361,mockumentary,3,2,funny,original,reality
361,fantasy,5,5,elfs,dragrons,magic
361,funny,5,4,punch line,giggle,spoof
361,twists & turns,3,2,rollercoaster,unexpected,surprise
361,atmospheric,3,2,feel,drama,nervous
361,prison,3,2,drugs,rape,escape
361,steampunk,4,2,victorian,art nouveau,automaton
361,pirates,5,2,ship,eye patch,drunk
361,cyberpunk,4,2,future,implants,neon
386,funny,5,5,HUMOROUS,COMIC,HILARIOUS
386,art house,4,4,BACKDROP,SCENERY,BACKSTAGE
386,romance,5,4,AFFAIR,LOVE,RELATIONSHIP
376,holocaust,5,2,Germany,gas chambers,museum
376,witty,5,5,smart ,unique,interesting
376,violence,5,3,bad ,hurt,depressing
376,comedy,5,5,funny,happy,feel good
376,martial arts,5,4,fight ,judo,orential
376,prison,5,3,bars,bad,rejects
376,thought-provoking,5,5,wondering,thinking,interesting
376,stupid,5,5,not right,dumb,not smart
376,psychological,5,5,makes sense,makes no sense,thought provoking
376,predictable,5,5,common,famlliar,know it will happen
391,serial killer,5,5,murder,torture,violence
391,satire,4,4,irony,laughter,wit
391,mystery,4,4,investigation,disappear,lies
391,war,4,4,soldiers,politicians,bombs
391,martial arts,3,2,karate,kung fu,mma
391,mafia,5,5,family,italy,money
391,holocaust,5,1,jews,Hitler,war
391,thought-provoking,1,2,profound,emotional,life
391,animation,5,2,kids,family,fun
395,horror,5,3,scary,terror,brutal
395,environmental,2,2,weather,disaster,end days
395,suspense,3,3,interesting,thrilling,mystery
395,funny,4,4,laughter,joy,excitement
395,mafia,4,4,antihero,interesting,strange
395,comic book,3,3,fantasy,power,exciting
395,unique,2,2,novel,one of a kind,individual
395,serial killer,2,2,terror,odd,disgusting
395,christmas,4,4,joy,happy,presents
395,robots,3,3,future,AI,smart
392,pirates,5,3,Ocean,Theft,Pillage
392,musical,5,2,Song,dance,Show
392,environmental,5,1,Climate Change,Global Warming ,Carbon
392,world war ii,5,5,Epic,Saga,Intense
392,nonlinear,5,-1,Different,Not a straight line,Out of sequence
392,predictable,5,5,Logical,Straight forward,Easy to follow
392,war,5,3,Conflict,Massive,Destruction
392,culture clash,-1,3,Collide,dissagree,fight
392,unique,5,3,Different,stands out,one of a kind
392,original,5,2,one of a kind,not standard,the first of a kind
393,sci-fi,5,3,Fantasy,Exciting,Future
393,self discovery,4,2,Introspection,Thoughts,Values
393,pirates,5,1,Ship,Eye patch,Skull and crossbone flag
393,predictable,5,3,Usual,Simple,Straightforward
393,stupid,5,4,Funny,Entertaining,Laugh
393,india,5,3,Good food,People,Love
393,superhero,5,3,Helpful,Heroic,Strong
393,romance,5,5,Love,Care,Memories
393,funny,5,5,Entertaining,Laughable,Happy
382,pirates,5,3,Raider,Sea villain,Carribean
382,india,5,4,Country,Democracy,Hindustan
382,romance,5,5,Love,Lust,Couple
382,nonlinear,3,4,disordered,flashback,statistics
382,animation,5,4,Anime,graphics,non-real
382,suspense,5,5,Climax,thriller,exciting
382,art house,3,4,creative,colourful,aesthetic
382,comic book,5,4,super hero,magazine,child hero
382,hilarious,4,4,happy,laugh,task
382,disturbing,4,4,psycho,violence,assault
390,time travel,5,5,beautiful,intriguing,adventurous
390,predictable,4,4,boring,mechanic,not practical
390,philosophical,2,2,boring,annoying,nothingness
390,horror,1,1,ugly,horrible,moron
390,violence,1,1,ugly, horrible,moron
390,plot twist,4,4,beautiful,expectation,suspance
390,western,3,3,old,always the same,far away
390,romance,5,5,attractive,tears,cry
390,musical,2,2,boring,monotonous,sleepy
390,environmental,5,5,current,reflective,for everyone
387,funny,5,5,hilarious,humorous,comical
387,animation,4,5,2D Animation,3D Animation,Motion Graphics
387,musical,4,5,Concept Musicals.,Jukebox Musicals.,Pop/Rock Musicals.
387,witty,5,5,sharp,quick,lively pain
387,romance,4,5,love,careing,advice
387,inspirational,4,5,efficacious,emphatic,motivating
387,predictable,4,5,expected,foreseeable,foreseeable
387,mystery,4,5,conundrum,secrecy,subtlety
387,film noir,5,5,Touch of Evil," Sweet Smell of Success,", Double Indemnity
387,superhero,5,5,Spider-Man.,Wonder Woman.,Captain America
301,twists & turns,-1,-1,twist means sudden change,sudden turn ,story different
301,christmas,5,5,good,celebration,season
301,adventure,5,5,new,interesting,nice
301,pirates,5,5,past,culture,Old movies
301,superhero,3,4,nice,heroin,top
301,disturbing,4,4,silence,DISGUSTING,smooth
301,overrated,4,5,high,tall,review
301,violence,4,4,vulgar,raise,high
301,art house,4,4,library,good,design
301,environmental,4,4,friendly,good,nice
375,existentialism,3,3,thinking,feeling,existence
375,superhero,5,3,powers,abilities,fighting
375,robots,5,2,artificial,sentient,machine
375,martial arts,5,3,self-defense,combat,tradition
375,mystery,5,4,crime,thriller,suspense
375,holocaust,5,2,genocide,nazis,murder
375,social commentary,4,3,issues,change,justice
375,religion,5,2,faith,beliefs,worship
375,musical,5,1,dance,songs,theatre
380,bittersweet,5,5,Orange,fellen,felonwood
380,drugs,5,4,Pharmacy,dope,chemist
380,steampunk,4,3,Good ,Romantic,style
380,animation,5,5,spirit,life,sparkle
380,sci-fi,3,3,science fiction,blast,dick
380,romance,5,5,story,romantic,novel
380,pirates,4,3,cutlass,black,jolly
380,stylized,5,4,formalism,modern,hieratic
380,musical,5,5,tune,sing,note
380,comic book,3,3,superman,cartoon,novel
369,predictable,5,5,expected,sure,certain
369,romance,5,5,love,passion,affection
369,philosophical,4,4,ideology,testament,spirituality
369,martial arts,5,5,Karate,Kung Fu ,Muay Thai
369,holocaust,5,5,disaster,destruction,mass murder
369,drama,5,5,theatre play ,show,screen play
369,historical,5,5,ancient,belonging to the past,past events
369,india,5,5,country,culture,Hindustan
406,martial arts,5,5,kungfu ,karata,judo
406,nonlinear,2,3,mathematical expressions,straight line,equations
406,comic book,4,5,noviels,animation movies,mickey mouse
406,animation,4,5,pogo,cartoon network,pluto
406,pirates,5,5,somaliya,thief,steal things
406,environmental,5,5,earth,green,climatic change
406,funny,4,5,laughing,happy,smile
406,western,5,3,classic,new,market
406,time travel,3,4,to another world,another dimension,another place
406,overrated,2,2,telling something big,saturn,jupiter
381,superhero,5,4,Helping the weak,Fighting the enemies,Superpowers
381,horror,5,5,Scary sounds,Monsters,Creepy places
381,thriller,4,3,Suspense,Action,knotty plots
381,holocaust,5,3,Hebrews,Nazi,Gas chambers
381,animation,5,5,Cartoons,Disney,CGI
381,comic book,4,2,Mickey Mouse,Comic strips,Black and white drawings
381,violence,4,2,Fights,Blood,Guns
381,dystopia,3,3,Aliens,Flying cars,Ultra High Technologies
381,romance,4,2,Kissing,Love stories,Breakups
394,martial arts,5,4,kung fu,Bruce Lee,Jackie Chan
394,romance,5,2,relationship,love,drama
394,quirky,3,3,unexpected,suspense,odd
394,film noir,4,3,dark,dramatic,tense
394,funny,5,4,laugh,comedy,humor
394,humorous,5,3,funny,slapstick,silly
394,mafia,5,5,crime,violence,familia
394,thriller,4,4,suspense,unexpected,drama
394,christmas,5,2,holiday,happy ,winter
394,culture clash,4,2,contradictory,awkward,interesting
401,christmas,5,5,Holiday,Family,Decorations
401,animation,5,5,Movement,Cartoons,Fun
401,musical,5,5,Singing,Dancing,Movement
401,space,4,4,Galaxy,Orbit,Milky Way
401,aliens,4,4,Outerspace,Life Forms,UFO
401,martial arts,5,5,Bruce Lee,Shogun,Ronin
401,artistic,5,5,Renissance,Painters,Blue Period
401,futuristic,5,5,25th century,Long term,Fast Forward
401,pirates,4,4,Ships,Gold,Adventure
401,humorous,5,5,Comedy,Funny,Stand Up
