UID,movie,tag,rating,easy
319,Stargate (1994),time travel,5,Strongly agree
317,"Wizard of Oz, The (1939)",musical,5,Strongly agree
317,M*A*S*H (a.k.a. MASH) (1970),culture clash,4,Agree
317,Monty Python and the Holy Grail (1975),social commentary,5,Agree
317,You've Got Mail (1998),predictable,5,Strongly agree
317,"Mask, The (1994)",superhero,3,Neither agree nor disagree
317,It's a Wonderful Life (1946),christmas,5,Strongly agree
317,Aladdin (1992),animation,5,Strongly agree
317,One Flew Over the Cuckoo's Nest (1975),prison,5,Agree
317,"Godfather, The (1972)",stylized,4,Agree
317,Taxi Driver (1976),hallucinatory,4,Agree
321,Star Wars: Episode VI - Return of the Jedi (1983),space,5,
321,Into the Wild (2007),self discovery,5,Strongly agree
321,Minority Report (2002),robots,4,Agree
321,Trainspotting (1996),drugs,5,Strongly agree
321,Star Wars: Episode V - The Empire Strikes Back (1980),fantasy,4,Agree
321,Apocalypse Now (1979),horror,2,Neither agree nor disagree
321,"Truman Show, The (1998)",sci-fi,5,Agree
321,Star Wars: Episode IV - A New Hope (1977),plot twist,4,Agree
321,"Lord of the Rings: The Two Towers, The (2002)",historical,2,Agree
321,Blade Runner (1982),space,4,Agree
322,Mrs. Doubtfire (1993),funny,5,
322,Star Wars: Episode IV - A New Hope (1977),funny,4,Disagree
322,"English Patient, The (1996)",world war ii,5,Strongly agree
322,Titanic (1997),romance,5,Agree
322,You've Got Mail (1998),predictable,4,Agree
322,Willy Wonka & the Chocolate Factory (1971),surreal,4,Neither agree nor disagree
322,"Silence of the Lambs, The (1991)",mystery,3,Disagree
322,"Truman Show, The (1998)",sci-fi,4,Neither agree nor disagree
322,Die Hard (1988),christmas,3,
322,It's a Wonderful Life (1946),christmas,5,Strongly agree
318,Slumdog Millionaire (2008),india,5,Strongly agree
318,"Matrix, The (1999)",adventure,3,Disagree
318,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),insanity,5,
318,Forrest Gump (1994),great soundtrack,-1,Disagree
318,Life Is Beautiful (La Vita è bella) (1997),holocaust,5,Strongly agree
318,Fight Club (1999),dystopia,4,Agree
318,Seven (a.k.a. Se7en) (1995),insanity,5,Strongly agree
318,Pulp Fiction (1994),hilarious,4,Strongly agree
318,"Truman Show, The (1998)",sci-fi,2,Agree
318,Kill Bill: Vol. 1 (2003),martial arts,5,Strongly agree
323,"Matrix Reloaded, The (2003)",superhero,5,Strongly agree
323,Terminator 2: Judgment Day (1991),robots,5,Strongly agree
323,Ace Ventura: When Nature Calls (1995),stupid,1,Strongly disagree
323,True Lies (1994),funny,1,Strongly disagree
323,Ace Ventura: Pet Detective (1994),drama,1,Strongly disagree
323,Dumb & Dumber (1994),hilarious,1,Strongly disagree
323,Star Wars: Episode VI - Return of the Jedi (1983),thought-provoking,2,Neither agree nor disagree
323,Men in Black (a.k.a. MIB) (1997),comic book,1,Strongly disagree
323,"Day After Tomorrow, The (2004)",environmental,5,Agree
323,Mission: Impossible II (2000),predictable,4,Agree
325,Terminator 2: Judgment Day (1991),twists & turns,4,Agree
325,Pi (1998),art house,3,Agree
325,Kill Bill: Vol. 1 (2003),martial arts,5,
325,Charlie's Angels (2000),martial arts,5,
325,Kill Bill: Vol. 2 (2004),martial arts,5,Strongly agree
325,Jurassic Park (1993),stylized,4,Agree
325,Pulp Fiction (1994),suspense,4,Agree
325,Slumdog Millionaire (2008),india,5,Strongly agree
325,Titanic (1997),romance,5,Strongly agree
325,Men in Black (a.k.a. MIB) (1997),humorous,4,Agree
326,Seven Samurai (Shichinin no samurai) (1954),western,1,Strongly agree
326,"Matrix Reloaded, The (2003)",superhero,4,Agree
326,Minority Report (2002),robots,2,Neither agree nor disagree
326,Toy Story (1995),fantasy,5,Strongly agree
326,Fight Club (1999),nonlinear,4,Agree
326,American History X (1998),holocaust,2,
326,"Pianist, The (2002)",holocaust,5,Strongly agree
326,Titanic (1997),romance,5,Strongly agree
326,"Fifth Element, The (1997)",comic book,2,Disagree
326,Blade Runner (1982),space,5,Strongly agree
328,Groundhog Day (1993),existentialism,5,Agree
328,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),superhero,4,Agree
328,It's a Wonderful Life (1946),christmas,5,Strongly agree
328,"Day After Tomorrow, The (2004)",environmental,5,Agree
328,Back to the Future (1985),time travel,5,Agree
328,Jurassic Park (1993),drama,4,Agree
328,Back to the Future Part III (1990),western,4,Agree
328,Men in Black (a.k.a. MIB) (1997),humorous,5,Agree
328,Toy Story (1995),witty,5,Agree
328,Willy Wonka & the Chocolate Factory (1971),surreal,5,Agree
327,L.A. Confidential (1997),film noir,3,Neither agree nor disagree
327,Waterworld (1995),environmental,4,Agree
327,Edward Scissorhands (1990),unique,5,Strongly agree
327,Kill Bill: Vol. 2 (2004),martial arts,5,Strongly agree
327,Mission: Impossible II (2000),predictable,3,Neither agree nor disagree
327,Babe (1995),animation,2,Agree
327,"Godfather, The (1972)",stylized,3,Neither agree nor disagree
327,Pulp Fiction (1994),thought-provoking,3,Neither agree nor disagree
327,Mrs. Doubtfire (1993),funny,5,Strongly agree
327,"English Patient, The (1996)",world war ii,3,Neither agree nor disagree
332,Mulholland Drive (2001),unique,5,Agree
332,Braveheart (1995),bittersweet,3,Disagree
332,Kill Bill: Vol. 2 (2004),martial arts,5,Agree
332,"Matrix Reloaded, The (2003)",superhero,-1,Disagree
332,"Pianist, The (2002)",holocaust,4,Agree
332,"Clockwork Orange, A (1971)",satire,5,Agree
332,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,3,Disagree
332,"Blair Witch Project, The (1999)",boring,2,Disagree
332,Back to the Future Part III (1990),western,3,Disagree
332,Forrest Gump (1994),mystery,1,Strongly agree
335,"Pianist, The (2002)",holocaust,5,Agree
335,Toy Story (1995),fantasy,3,Agree
335,"Lion King, The (1994)",animation,5,Strongly agree
335,"Mask, The (1994)",hilarious,5,Strongly agree
335,You've Got Mail (1998),predictable,5,Neither agree nor disagree
335,"Rock, The (1996)",prison,-1,Neither agree nor disagree
335,Dumb & Dumber (1994),stupid,4,Agree
335,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,5,Agree
335,Pulp Fiction (1994),artistic,4,Neither agree nor disagree
335,"Matrix Reloaded, The (2003)",superhero,5,Agree
334,Charlie's Angels (2000),martial arts,5,Agree
334,Beauty and the Beast (1991),musical,-1,Neither agree nor disagree
334,Titanic (1997),romance,5,Agree
334,Twister (1996),stupid,-1,Agree
334,"Day After Tomorrow, The (2004)",environmental,4,Neither agree nor disagree
334,Pi (1998),art house,5,Strongly agree
334,Jurassic Park (1993),suspense,-1,Strongly agree
334,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,5,Strongly agree
334,True Lies (1994),quirky,-1,Disagree
334,Terminator 2: Judgment Day (1991),overrated,1,Strongly agree
338,"Matrix Reloaded, The (2003)",superhero,5,Strongly agree
338,"Godfather, The (1972)",stylized,4,Agree
338,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Strongly agree
338,"Day After Tomorrow, The (2004)",environmental,4,Agree
338,Titanic (1997),romance,5,Strongly agree
338,Slumdog Millionaire (2008),india,1,Strongly disagree
338,Back to the Future (1985),time travel,3,Agree
338,"Lord of the Rings: The Two Towers, The (2002)",historical,5,Strongly agree
338,Mission: Impossible II (2000),predictable,5,Strongly agree
338,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,5,Agree
339,Titanic (1997),romance,5,Strongly agree
339,One Flew Over the Cuckoo's Nest (1975),prison,3,Agree
339,"Silence of the Lambs, The (1991)",robots,1,Strongly disagree
339,Forrest Gump (1994),environmental,2,Strongly disagree
339,"Wizard of Oz, The (1939)",musical,5,Agree
339,Contact (1997),religion,2,Agree
339,Mrs. Doubtfire (1993),funny,5,Strongly agree
339,Slumdog Millionaire (2008),india,5,Strongly agree
339,Fargo (1996),surreal,4,Neither agree nor disagree
339,"Mask, The (1994)",hilarious,5,Strongly agree
340,"Princess Bride, The (1987)",witty,4,Agree
340,Natural Born Killers (1994),serial killer,-1,Neither agree nor disagree
340,Schindler's List (1993),violence,4,Agree
340,Random Hearts (1999),boring,3,Agree
340,Hoop Dreams (1994),documentary,5,Agree
340,It's a Wonderful Life (1946),world war ii,3,Neither agree nor disagree
340,Jurassic Park (1993),war,5,Strongly agree
340,Star Wars: Episode V - The Empire Strikes Back (1980),fantasy,4,
340,Men in Black (a.k.a. MIB) (1997),funny,4,Neither agree nor disagree
340,Star Wars: Episode VI - Return of the Jedi (1983),fantasy,3,Neither agree nor disagree
342,Casablanca (1942),world war ii,-1,Strongly disagree
342,Fargo (1996),surreal,4,Agree
342,True Lies (1994),quirky,1,Strongly agree
342,Dogma (1999),religion,5,Strongly agree
342,American History X (1998),holocaust,-1,Neither agree nor disagree
342,"Blair Witch Project, The (1999)",boring,1,Strongly agree
342,National Treasure (2004),pirates,1,Strongly agree
342,"Lion King, The (1994)",animation,5,Strongly agree
342,My Cousin Vinny (1992),culture clash,-1,Neither agree nor disagree
342,Jurassic Park (1993),mystery,2,Neither agree nor disagree
311,Forrest Gump (1994),musical,3,Neither agree nor disagree
311,Titanic (1997),romance,5,Strongly agree
311,Into the Wild (2007),self discovery,5,Agree
311,Life Is Beautiful (La Vita è bella) (1997),holocaust,5,Agree
311,Trainspotting (1996),drugs,5,Strongly agree
311,"Lion King, The (1994)",animation,5,Strongly agree
311,"Truman Show, The (1998)",sci-fi,4,Agree
311,Mrs. Doubtfire (1993),funny,4,Agree
311,Batman (1989),adventure,3,Neither agree nor disagree
311,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,3,Neither agree nor disagree
354,Beetlejuice (1988),horror,1,Neither agree nor disagree
354,Dances with Wolves (1990),thriller,1,Strongly disagree
354,Ace Ventura: Pet Detective (1994),drama,1,Strongly disagree
354,Fight Club (1999),surreal,5,Strongly agree
354,Men in Black (a.k.a. MIB) (1997),humorous,5,Agree
354,"Pianist, The (2002)",holocaust,5,Agree
354,"Usual Suspects, The (1995)",plot twist,5,Strongly agree
354,Lethal Weapon 3 (1992),martial arts,1,
354,Charlie's Angels (2000),martial arts,2,Neither agree nor disagree
354,Pretty Woman (1990),romance,5,Agree
358,"Wizard of Oz, The (1939)",musical,5,Strongly agree
358,Jurassic Park (1993),drama,2,
358,Beetlejuice (1988),horror,3,Disagree
358,Men in Black (a.k.a. MIB) (1997),funny,5,Strongly agree
358,Toy Story (1995),comedy,4,Neither agree nor disagree
358,"Mask, The (1994)",superhero,4,Agree
358,Aladdin (1992),drama,1,Strongly disagree
358,Groundhog Day (1993),existentialism,3,Neither agree nor disagree
358,Willy Wonka & the Chocolate Factory (1971),surreal,5,Strongly agree
358,"Princess Bride, The (1987)",witty,4,Agree
357,Slumdog Millionaire (2008),india,5,Strongly agree
357,Braveheart (1995),existentialism,2,Neither agree nor disagree
357,Beetlejuice (1988),horror,2,Agree
357,Being John Malkovich (1999),quirky,4,Strongly agree
357,Kill Bill: Vol. 1 (2003),martial arts,5,Strongly agree
357,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),mockumentary,5,Strongly agree
357,Edward Scissorhands (1990),unique,3,Strongly agree
357,Fight Club (1999),dystopia,5,Strongly agree
357,Trainspotting (1996),drugs,5,Strongly agree
357,Dead Man Walking (1995),religion,3,Agree
359,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",steampunk,3,Strongly agree
359,Willy Wonka & the Chocolate Factory (1971),surreal,3,Agree
359,It's a Wonderful Life (1946),world war ii,5,Agree
359,Edward Scissorhands (1990),unique,5,Agree
359,Contact (1997),religion,1,Strongly disagree
359,Toy Story (1995),comedy,4,Agree
359,"Godfather, The (1972)",stylized,3,Agree
359,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),historical,4,Strongly agree
359,"Goonies, The (1985)",pirates,5,Agree
359,"Lion King, The (1994)",animation,5,Strongly agree
361,Total Recall (1990),cyberpunk,2,
361,Monty Python's Life of Brian (1979),mockumentary,2,Disagree
361,Star Wars: Episode V - The Empire Strikes Back (1980),fantasy,5,Agree
361,Men in Black (a.k.a. MIB) (1997),funny,4,Agree
361,"Matrix, The (1999)",twists & turns,2,Disagree
361,Terminator 2: Judgment Day (1991),atmospheric,1,Disagree
361,"Rock, The (1996)",prison,3,Neither agree nor disagree
361,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",steampunk,5,Agree
361,National Treasure (2004),pirates,1,Agree
361,"Fifth Element, The (1997)",cyberpunk,2,Disagree
366,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,2,Agree
366,Apollo 13 (1995),great soundtrack,3,Neither agree nor disagree
366,"Fugitive, The (1993)",violence,4,Neither agree nor disagree
366,Lethal Weapon 3 (1992),martial arts,3,Neither agree nor disagree
366,Star Wars: Episode IV - A New Hope (1977),psychological,3,Disagree
366,"Rock, The (1996)",prison,3,Neither agree nor disagree
366,Maverick (1994),western,4,Neither agree nor disagree
366,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Neither agree nor disagree
366,Monsoon Wedding (2001),india,4,Neither agree nor disagree
366,"Shawshank Redemption, The (1994)",mafia,-1,Neither agree nor disagree
371,Minority Report (2002),robots,4,Agree
371,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,
371,Into the Wild (2007),self discovery,5,Strongly agree
371,Mission: Impossible II (2000),predictable,4,Agree
371,"Matrix Reloaded, The (2003)",superhero,3,Neither agree nor disagree
371,"Godfather, The (1972)",stylized,4,Agree
371,Aladdin (1992),drama,5,Strongly agree
371,Toy Story (1995),original,4,Agree
371,Titanic (1997),romance,5,Strongly agree
371,National Treasure (2004),pirates,1,Disagree
370,Twister (1996),stupid,5,
370,Austin Powers: International Man of Mystery (1997),time travel,-1,Neither agree nor disagree
370,Life Is Beautiful (La Vita è bella) (1997),holocaust,5,Agree
370,Being John Malkovich (1999),art house,4,Agree
370,Dumb & Dumber (1994),hilarious,2,Agree
370,Lethal Weapon 3 (1992),martial arts,1,
370,Independence Day (a.k.a. ID4) (1996),stupid,4,Neither agree nor disagree
370,Wild Wild West (1999),western,3,Agree
370,Kill Bill: Vol. 1 (2003),martial arts,4,Agree
370,"Blair Witch Project, The (1999)",boring,1,Strongly agree
372,National Treasure (2004),pirates,-1,Strongly disagree
372,Schindler's List (1993),disturbing,2,Neither agree nor disagree
372,"Day After Tomorrow, The (2004)",environmental,4,Strongly agree
372,Kill Bill: Vol. 1 (2003),martial arts,5,Strongly agree
372,Fight Club (1999),nonlinear,5,Agree
372,Twister (1996),stupid,4,Neither agree nor disagree
372,"Matrix Reloaded, The (2003)",superhero,5,Strongly agree
372,Memento (2000),mystery,5,Strongly agree
372,Die Hard (1988),christmas,4,Agree
372,Mission: Impossible II (2000),predictable,1,Strongly agree
378,Jurassic Park (1993),tense,4,Strongly agree
378,Clear and Present Danger (1994),original,2,Strongly agree
378,Waterworld (1995),environmental,4,
378,Seven Samurai (Shichinin no samurai) (1954),western,4,Disagree
378,Princess Mononoke (Mononoke-hime) (1997),environmental,4,Strongly agree
378,Charlie's Angels (2000),martial arts,3,Agree
378,Fight Club (1999),philosophical,5,Strongly agree
378,Dark City (1998),steampunk,5,Strongly agree
378,"English Patient, The (1996)",boring,5,
378,Forrest Gump (1994),boring,1,Strongly agree
375,Kill Bill: Vol. 2 (2004),martial arts,3,
375,Groundhog Day (1993),existentialism,4,Neither agree nor disagree
375,"Matrix Reloaded, The (2003)",superhero,1,Agree
375,Star Wars: Episode VI - Return of the Jedi (1983),robots,3,Agree
375,Kill Bill: Vol. 1 (2003),martial arts,4,Agree
375,Memento (2000),mystery,5,Agree
375,American History X (1998),holocaust,1,Agree
375,True Lies (1994),social commentary,2,Disagree
375,Dogma (1999),religion,5,Agree
375,"Wizard of Oz, The (1939)",musical,5,Agree
376,Saving Private Ryan (1998),holocaust,1,Strongly disagree
376,Star Wars: Episode VI - Return of the Jedi (1983),witty,5,Strongly agree
376,Schindler's List (1993),violence,5,Agree
376,Back to the Future (1985),comedy,4,Agree
376,Charlie's Angels (2000),martial arts,3,Disagree
376,One Flew Over the Cuckoo's Nest (1975),prison,3,Disagree
376,"Fugitive, The (1993)",thought-provoking,5,Agree
376,Twister (1996),stupid,5,Strongly agree
376,Jurassic Park (1993),psychological,1,Strongly disagree
376,Mission: Impossible II (2000),predictable,4,Agree
380,American Beauty (1999),bittersweet,5,Agree
380,Taxi Driver (1976),drugs,4,Agree
380,Dark City (1998),steampunk,4,Agree
380,"Lion King, The (1994)",animation,4,Neither agree nor disagree
380,Star Wars: Episode IV - A New Hope (1977),sci-fi,5,Agree
380,Titanic (1997),romance,5,Strongly agree
380,Six Days Seven Nights (1998),pirates,3,Agree
380,"Godfather, The (1972)",stylized,4,Agree
380,Beauty and the Beast (1991),musical,5,Agree
380,Men in Black (a.k.a. MIB) (1997),comic book,5,Agree
369,Mission: Impossible II (2000),predictable,3,Agree
369,Titanic (1997),romance,5,Strongly agree
369,Terminator 2: Judgment Day (1991),philosophical,1,Agree
369,Charlie's Angels (2000),martial arts,2,Agree
369,Life Is Beautiful (La Vita è bella) (1997),holocaust,1,Agree
369,Aladdin (1992),drama,2,Agree
369,"Lord of the Rings: The Two Towers, The (2002)",historical,1,Agree
369,"Little Princess, A (1995)",india,1,
369,Monsoon Wedding (2001),india,5,
369,Slumdog Millionaire (2008),india,5,Strongly agree
386,Men in Black (a.k.a. MIB) (1997),funny,4,Agree
386,Pi (1998),art house,5,Neither agree nor disagree
386,Titanic (1997),romance,5,Strongly agree
382,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Agree
382,Slumdog Millionaire (2008),india,4,Agree
382,Titanic (1997),romance,4,Agree
382,Jurassic Park (1993),nonlinear,3,Disagree
382,"Lion King, The (1994)",animation,5,Agree
382,Beauty and the Beast (1991),suspense,4,Agree
382,Pi (1998),art house,3,Neither agree nor disagree
382,Batman Forever (1995),comic book,4,Agree
382,Pulp Fiction (1994),hilarious,4,Agree
382,Fight Club (1999),disturbing,5,Agree
390,Back to the Future (1985),time travel,4,Agree
390,Jurassic Park (1993),predictable,4,Agree
390,"Matrix, The (1999)",philosophical,4,Agree
390,Apocalypse Now (1979),horror,2,Disagree
390,Schindler's List (1993),violence,5,Agree
390,Star Wars: Episode IV - A New Hope (1977),plot twist,4,Agree
390,Maverick (1994),western,5,Agree
390,Titanic (1997),romance,5,Agree
390,Beauty and the Beast (1991),musical,5,Agree
390,"Day After Tomorrow, The (2004)",environmental,5,Agree
387,Men in Black (a.k.a. MIB) (1997),funny,3,Neither agree nor disagree
387,"Lion King, The (1994)",animation,5,Strongly agree
387,"Wizard of Oz, The (1939)",musical,5,Agree
387,Toy Story (1995),witty,5,Neither agree nor disagree
387,Titanic (1997),romance,5,Strongly agree
387,Terminator 2: Judgment Day (1991),inspirational,5,Agree
387,Mission: Impossible II (2000),predictable,5,Neither agree nor disagree
387,Jurassic Park (1993),mystery,5,Agree
387,Batman (1989),film noir,5,Neither agree nor disagree
387,"Mask, The (1994)",superhero,5,Strongly agree
388,"Blair Witch Project, The (1999)",mockumentary,-1,Strongly disagree
388,Schindler's List (1993),disturbing,3,Disagree
388,Lethal Weapon 3 (1992),martial arts,3,Agree
388,Alien (1979),horror,4,Agree
388,Reservoir Dogs (1992),mafia,5,Strongly agree
388,"English Patient, The (1996)",boring,1,Agree
388,Men in Black (a.k.a. MIB) (1997),comic book,2,Disagree
388,Mulholland Drive (2001),unique,4,Agree
388,Toy Story (1995),space,2,Agree
388,Back to the Future (1985),time travel,5,Strongly agree
391,Natural Born Killers (1994),serial killer,5,Strongly agree
391,Fargo (1996),satire,4,Agree
391,Seven (a.k.a. Se7en) (1995),mystery,5,Strongly agree
391,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,3,Neither agree nor disagree
391,Kill Bill: Vol. 1 (2003),martial arts,5,Agree
391,"Godfather: Part II, The (1974)",mafia,5,
391,Reservoir Dogs (1992),mafia,3,Neither agree nor disagree
391,American History X (1998),holocaust,4,Agree
391,Forrest Gump (1994),thought-provoking,5,Strongly agree
391,"Lion King, The (1994)",animation,5,Strongly agree
381,"Mask, The (1994)",superhero,3,Disagree
381,Aliens (1986),horror,4,
381,Alien (1979),horror,4,Strongly agree
381,Aladdin (1992),thriller,1,Strongly agree
381,"Pianist, The (2002)",holocaust,1,Strongly agree
381,"Lion King, The (1994)",animation,5,Strongly agree
381,Men in Black (a.k.a. MIB) (1997),comic book,1,Strongly agree
381,Schindler's List (1993),violence,4,Strongly agree
381,Independence Day (a.k.a. ID4) (1996),dystopia,5,Strongly agree
381,Titanic (1997),romance,5,Strongly agree
392,National Treasure (2004),pirates,2,Strongly agree
392,"O Brother, Where Art Thou? (2000)",musical,4,Strongly agree
392,Forrest Gump (1994),environmental,1,Strongly agree
392,It's a Wonderful Life (1946),world war ii,5,Strongly agree
392,Fight Club (1999),nonlinear,-1,Neither agree nor disagree
392,You've Got Mail (1998),predictable,5,Strongly agree
392,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),war,3,Agree
392,Batman Forever (1995),culture clash,-1,Neither agree nor disagree
392,Pulp Fiction (1994),unique,5,Strongly agree
392,Toy Story (1995),original,5,Strongly agree
395,Apocalypse Now (1979),horror,2,Agree
395,"Day After Tomorrow, The (2004)",environmental,3,Agree
395,Pulp Fiction (1994),suspense,1,Agree
395,Mrs. Doubtfire (1993),funny,5,Agree
395,"Godfather: Part II, The (1974)",mafia,5,Agree
395,"Fifth Element, The (1997)",comic book,1,Agree
395,Mulholland Drive (2001),unique,5,Agree
395,Seven (a.k.a. Se7en) (1995),serial killer,5,Agree
395,Die Hard (1988),christmas,2,Agree
395,Minority Report (2002),robots,3,Agree
393,Terminator 2: Judgment Day (1991),sci-fi,5,Strongly agree
393,Ace Ventura: When Nature Calls (1995),stupid,5,
393,Jurassic Park (1993),self discovery,3,Agree
393,Six Days Seven Nights (1998),pirates,2,Strongly agree
393,Mission: Impossible II (2000),predictable,3,Neither agree nor disagree
393,Independence Day (a.k.a. ID4) (1996),stupid,1,Strongly agree
393,Bend It Like Beckham (2002),india,3,Disagree
393,"Mask, The (1994)",superhero,4,Agree
393,Titanic (1997),romance,5,Strongly agree
393,True Lies (1994),funny,4,Agree
401,It's a Wonderful Life (1946),christmas,5,Strongly agree
401,"Lion King, The (1994)",animation,5,Strongly agree
401,Beauty and the Beast (1991),musical,4,Agree
401,Blade Runner (1982),space,3,Neither agree nor disagree
401,Jurassic Park (1993),aliens,1,Strongly disagree
401,Kill Bill: Vol. 1 (2003),martial arts,3,Neither agree nor disagree
401,Amadeus (1984),artistic,4,Agree
401,Star Wars: Episode VI - Return of the Jedi (1983),futuristic,3,Neither agree nor disagree
401,Forrest Gump (1994),pirates,1,Strongly disagree
401,Men in Black (a.k.a. MIB) (1997),humorous,4,Agree
406,Charlie's Angels (2000),martial arts,5,Strongly agree
406,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),nonlinear,4,Agree
406,"Fifth Element, The (1997)",comic book,2,Agree
406,"Lion King, The (1994)",animation,5,Strongly agree
406,National Treasure (2004),pirates,4,Strongly agree
406,"Day After Tomorrow, The (2004)",environmental,5,Strongly agree
406,Men in Black (a.k.a. MIB) (1997),funny,2,Agree
406,Maverick (1994),western,5,Strongly agree
406,Austin Powers: International Man of Mystery (1997),time travel,3,Agree
406,Toy Story (1995),overrated,3,Agree
394,Kill Bill: Vol. 1 (2003),martial arts,5,Strongly agree
394,Titanic (1997),romance,5,Agree
394,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),quirky,5,Agree
394,Batman (1989),film noir,5,Agree
394,Mrs. Doubtfire (1993),funny,5,Agree
394,Men in Black (a.k.a. MIB) (1997),humorous,4,Agree
394,"Godfather: Part II, The (1974)",mafia,5,Agree
394,"Usual Suspects, The (1995)",thriller,5,Agree
394,Die Hard (1988),christmas,3,Disagree
394,My Cousin Vinny (1992),culture clash,3,Disagree
407,Back to the Future (1985),time travel,5,Strongly agree
407,Jurassic Park (1993),prison,1,Strongly disagree
407,"Fugitive, The (1993)",stylized,1,Strongly disagree
407,Forrest Gump (1994),space,1,Strongly disagree
407,Toy Story (1995),philosophical,1,Strongly disagree
407,American Beauty (1999),bittersweet,3,Neither agree nor disagree
407,It's a Wonderful Life (1946),christmas,5,Strongly agree
407,Babe (1995),animation,1,Strongly disagree
407,Schindler's List (1993),disturbing,5,Strongly agree
407,Saving Private Ryan (1998),holocaust,5,Strongly agree
400,Jurassic Park (1993),funny,1,Strongly disagree
400,"Lion King, The (1994)",animation,3,Agree
400,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,1,Strongly disagree
400,Toy Story (1995),atmospheric,4,Agree
400,Titanic (1997),romance,5,Strongly agree
400,While You Were Sleeping (1995),christmas,1,Strongly disagree
400,Apocalypse Now (1979),horror,1,Strongly disagree
400,Beauty and the Beast (1991),musical,5,Strongly agree
400,"Wizard of Oz, The (1939)",musical,4,
400,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,4,Strongly agree
409,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),superhero,3,Agree
409,Clerks (1994),quirky,4,Agree
409,Billy Elliot (2000),self discovery,5,Agree
409,American History X (1998),holocaust,4,
409,"English Patient, The (1996)",boring,2,Agree
409,Babe (1995),animation,2,Agree
409,Star Wars: Episode IV - A New Hope (1977),tense,4,Agree
409,"Fifth Element, The (1997)",cyberpunk,5,Agree
409,Life Is Beautiful (La Vita è bella) (1997),holocaust,5,Strongly agree
409,American Beauty (1999),plot twist,5,Agree
433,Trainspotting (1996),drugs,5,Strongly agree
433,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,4,Agree
433,Seven (a.k.a. Se7en) (1995),insanity,5,Agree
433,Pulp Fiction (1994),unique,5,Strongly agree
433,Forrest Gump (1994),social commentary,5,Agree
433,"Clockwork Orange, A (1971)",satire,4,Neither agree nor disagree
433,Life Is Beautiful (La Vita è bella) (1997),holocaust,5,Strongly agree
433,Kill Bill: Vol. 2 (2004),martial arts,5,
433,Memento (2000),mystery,5,Agree
433,Kill Bill: Vol. 1 (2003),martial arts,5,Strongly agree
439,Men in Black (a.k.a. MIB) (1997),funny,5,Agree
439,"Matrix, The (1999)",adventure,5,Agree
439,Charlie's Angels (2000),martial arts,5,Agree
439,Chinatown (1974),film noir,5,Agree
439,Titanic (1997),romance,5,Agree
439,Star Wars: Episode V - The Empire Strikes Back (1980),fantasy,5,
439,Star Wars: Episode VI - Return of the Jedi (1983),fantasy,5,Agree
439,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),cyberpunk,5,Agree
439,Pi (1998),art house,5,Agree
439,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Agree
436,Taxi Driver (1976),hallucinatory,4,Neither agree nor disagree
436,Star Wars: Episode VI - Return of the Jedi (1983),fantasy,2,Agree
436,Princess Mononoke (Mononoke-hime) (1997),environmental,3,Neither agree nor disagree
436,My Cousin Vinny (1992),culture clash,-1,Disagree
436,"Little Princess, A (1995)",india,-1,Disagree
436,Beauty and the Beast (1991),suspense,5,Neither agree nor disagree
436,Six Days Seven Nights (1998),pirates,2,Agree
436,Natural Born Killers (1994),serial killer,3,Neither agree nor disagree
436,True Lies (1994),social commentary,2,Agree
436,American History X (1998),holocaust,3,Disagree
441,Groundhog Day (1993),existentialism,4,Neither agree nor disagree
441,Mrs. Doubtfire (1993),funny,5,Strongly agree
441,"Lord of the Rings: The Two Towers, The (2002)",historical,2,Strongly agree
441,Twister (1996),stupid,1,Strongly agree
441,Beetlejuice (1988),horror,2,Strongly agree
441,My Cousin Vinny (1992),culture clash,2,Agree
441,Willy Wonka & the Chocolate Factory (1971),surreal,4,Neither agree nor disagree
